Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
Kotak Debt Hybrid Fund(G), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,44.71,4.08,9.71,8.59,5000.0,1.8,1000.0
Kotak Debt Hybrid Fund(M-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, CRISIL Hybrid 85+15 - Conservative Index,12.09,4.08,9.65,7.38,5000.0,1.8,1000.0
LIC MF Banking & PSU Debt Fund(DD-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,10.82,4.2,3.36,4.29,5000.0,0.83,1000.0
LIC MF Banking & PSU Debt Fund(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,29.14,4.2,3.26,4.29,5000.0,0.83,1000.0
LIC MF Banking & PSU Debt Fund(M-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,10.91,4.2,3.26,4.24,5000.0,0.83,1000.0
LIC MF Banking & PSU Debt Fund(W-IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,10.05,4.2,3.26,4.27,5000.0,0.83,1000.0
HDFC Large and Mid Cap Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,199.4,7.34,19.37,12.22,1000.0,2.09,1000.0
Nippon India Multi Cap Fund(IDCW), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI,45.7,13.91,18.52,11.44,1000.0,1.82,1000.0
Nippon India Multi Cap Fund(G), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI,166.5,13.91,18.52,11.67,1000.0,1.82,1000.0
Nippon India Vision Fund(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,45.3,4.36,14.74,6.92,5000.0,2.08,1000.0
Nippon India Vision Fund(G), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,842.37,4.36,14.74,7.38,5000.0,2.08,1000.0
SBI Magnum Constant Maturity Fund-Reg(IDCW), Debt - Gilt Fund with 10 year constant duration, Open ended, Nifty 10 yr Benchmark G-Sec,16.98,5.75,2.46,4.27,5000.0,0.63,1000.0
