Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
Mirae Asset Overnight Fund-Reg(M-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index,1003.9,5.0,3.73,7.160055147058823,5000.0,0.21,1000.0
Kotak Pioneer Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, NIFTY 500 - TRI,17.92,0.39,18.94,7.160055147058823,5000.0,2.0,1000.0
DSP Value Fund-Reg(G), Equity - Value Fund, Open ended, NIFTY500 Value 50 - TRI,13.51,4.1,8.868668958742633,7.160055147058823,1000.0,1.69,1000.0
Union Large & Midcap Fund-Reg(G), Equity - Large & Mid Cap Fund, Open ended, S&P BSE 250 LargeMidCap Index - TRI,16.36,0.8,15.62,7.160055147058823,1000.0,2.61,1000.0
Union Large & Midcap Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, S&P BSE 250 LargeMidCap Index - TRI,16.36,0.8,15.62,7.160055147058823,1000.0,2.61,1000.0
Union Midcap Fund-Reg(G), Equity - Mid Cap Fund, Open ended, S&P BSE 150 MidCap - TRI,27.15,0.71,8.868668958742633,7.160055147058823,1000.0,2.51,1000.0
Axis Special Situations Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, NIFTY 500 - TRI,11.77,-6.3,8.868668958742633,7.160055147058823,1000.0,2.11,1000.0
Invesco India Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index,1122.19,4.98,3.73,7.160055147058823,1000.0,1.3712016129032258,1030.463038180341
Tata Focused Equity Fund-Reg(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,15.39,2.6,14.77,7.160055147058823,5000.0,1.99,1000.0
HSBC Ultra Short Duration Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,1144.12,5.9,4.88,4.47,5000.0,0.48,1000.0
Axis Quant Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, S&P BSE 200 - TRI,10.9,0.74,8.868668958742633,7.160055147058823,1000.0,2.14,1000.0
LIC MF Ultra Short Term Fund-Reg(DD-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,1065.62,5.36,4.52,4.08,5000.0,0.4,1000.0
LIC MF Ultra Short Term Fund-Reg(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,1030.48,5.36,4.53,3.88,5000.0,0.4,1000.0
LIC MF Ultra Short Term Fund-Reg(M-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,1135.49,5.36,4.52,3.87,5000.0,0.4,1000.0
Axis Retirement Savings Fund-Aggressive Plan-Reg(IDCW), Solution Oriented - Retirement Fund, Open ended, NIFTY 50 Hybrid Composite Debt 70:30 Index,12.44,-4.32,5.8,7.160055147058823,5000.0,2.29,1000.0
Axis Retirement Savings Fund-Dynamic Plan-Reg(IDCW), Solution Oriented - Retirement Fund, Open ended, NIFTY 50 Hybrid Composite Debt 65:35 Index,12.83,-3.9,7.46,7.160055147058823,5000.0,2.35,1000.0
Axis Retirement Savings Fund-Conservative Plan-Reg(IDCW), Solution Oriented - Retirement Fund, Open ended, NIFTY 50 Hybrid Short Duration Debt 25:75 Index,12.26,-2.5,5.66,7.160055147058823,5000.0,2.09,1000.0
Mahindra Manulife Top 250 Nivesh Yojana-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,15.39,-0.05,18.29,7.160055147058823,1000.0,2.34,1000.0
ITI Balanced Advantage Fund-Reg(G), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,10.68,-2.12,1.66,7.160055147058823,5000.0,2.35,1000.0
ITI Balanced Advantage Fund-Reg(IDCW), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,10.68,-2.12,1.66,7.160055147058823,5000.0,2.35,1000.0
Motilal Oswal Nifty 50 Index Fund-Reg(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,14.98,4.51,14.9,7.160055147058823,1000.0,0.5,1000.0
Motilal Oswal Nifty Next 50 Index Fund-Reg(G), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI,13.39,-6.61,9.84,7.160055147058823,1000.0,0.98,1000.0
Sundaram Large Cap Fund-Reg(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,15.2,3.53,8.868668958742633,7.160055147058823,1000.0,1.98,1000.0
ITI Banking & PSU Debt Fund-Reg(G), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,11.01,5.15,4.45,7.160055147058823,5000.0,0.7,1000.0
ITI Small Cap Fund-Reg(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,14.24,0.41,8.868668958742633,7.160055147058823,5000.0,2.36,1000.0
ITI Large Cap Fund-Reg(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,12.07,-1.09,8.868668958742633,7.160055147058823,5000.0,2.53,1000.0
JM Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1000.0,4.99,3.71,7.160055147058823,5000.0,0.14,1000.0
JM Overnight Fund-Reg(W-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1000.34,4.97,3.71,7.160055147058823,5000.0,0.14,1000.0
Aditya Birla SL PSU Equity Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, S&P BSE PSU - TRI,14.67,15.64,19.7,7.160055147058823,1000.0,2.29,1000.0
BHARAT Bond FOF - April 2023 -Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY BHARAT Bond Index - April 2023,12.16,4.65,6.05,7.160055147058823,1000.0,0.06,1000.0
BHARAT Bond FOF - April 2023 -Reg(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY BHARAT Bond Index - April 2023,12.16,4.65,6.05,7.160055147058823,1000.0,0.06,1000.0
BHARAT Bond FOF - April 2030 -Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY BHARAT Bond Index - April 2030,12.36,3.57,6.4,7.160055147058823,1000.0,0.06,1000.0
BHARAT Bond FOF - April 2030 -Reg(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY BHARAT Bond Index - April 2030,12.36,3.57,6.4,7.160055147058823,1000.0,0.06,1000.0
Bank of India Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1124.63,5.11,3.9,7.160055147058823,5000.0,1.3712016129032258,1030.463038180341
Kotak Nifty Next 50 Index Fund-Reg(G), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI,11.04,-5.99,8.868668958742633,7.160055147058823,5000.0,0.83,1000.0
Tata Quant Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, S&P BSE 200 - TRI,10.69,5.03,2.12,7.160055147058823,5000.0,2.31,1000.0
Tata Quant Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, S&P BSE 200 - TRI,10.69,5.03,2.12,7.160055147058823,5000.0,2.31,1000.0
Invesco India Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index,1000.13,5.42,3.89,7.160055147058823,1000.0,1.3712016129032258,1030.463038180341
Invesco India Overnight Fund-Reg(W-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index,1000.51,5.02,3.72,7.160055147058823,1000.0,1.3712016129032258,1030.463038180341
Invesco India Overnight Fund-Reg(M-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index,1002.86,4.98,3.66,7.160055147058823,1000.0,1.3712016129032258,1030.463038180341
Axis All Seasons Debt FOFs-Reg(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY Composite Debt Index,11.93,3.78,5.59,7.160055147058823,5000.0,0.57,1000.0
Axis All Seasons Debt FOFs-Reg(M-IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY Composite Debt Index,11.93,3.78,5.59,7.160055147058823,5000.0,0.57,1000.0
Axis All Seasons Debt FOFs-Reg(Q-IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY Composite Debt Index,10.96,3.78,5.59,7.160055147058823,5000.0,0.57,1000.0
Axis All Seasons Debt FOFs-Reg(H-IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY Composite Debt Index,12.09,3.81,8.25,7.160055147058823,5000.0,0.57,1000.0
Axis All Seasons Debt FOFs-Reg(A-IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY Composite Debt Index,11.7,3.78,5.68,7.160055147058823,5000.0,0.57,1000.0
HSBC Ultra Short Duration Fund-Reg(DD-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,1031.73,5.86,4.86,4.41,5000.0,0.48,1000.0
HSBC Ultra Short Duration Fund-Reg(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,1041.66,5.9,4.88,4.37,5000.0,0.48,1000.0
HSBC Ultra Short Duration Fund-Reg(M-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,1031.0,5.9,4.88,4.44,5000.0,0.48,1000.0
ITI Small Cap Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,14.24,0.41,8.868668958742633,7.160055147058823,5000.0,2.36,1000.0
Axis ESG Equity Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, NIFTY100 ESG - TRI,15.04,-3.25,14.16,7.160055147058823,1000.0,2.11,1000.0
Axis ESG Equity Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, NIFTY100 ESG - TRI,13.85,-3.25,14.16,7.160055147058823,1000.0,2.11,1000.0
Nippon India Nifty Smallcap 250 Index Fund-Reg(G), Index Funds - Other, Open ended, Nifty Smallcap 250 - TRI,18.01,-3.24,8.868668958742633,7.160055147058823,1000.0,1.04,1000.0
UTI Small Cap Fund-Reg(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,15.44,2.38,8.868668958742633,7.160055147058823,5000.0,2.27,1000.0
Union Hybrid Equity Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,12.56,1.13,8.868668958742633,7.160055147058823,1000.0,2.53,1000.0
IDFC Emerging Businesses Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,18.96,-2.36,8.868668958742633,7.160055147058823,1000.0,2.2,1000.0
Union Overnight Fund-Reg(M-IDCW Payout), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1004.27,4.94,8.868668958742633,7.160055147058823,5000.0,0.18,1000.0
Bank of India Overnight Fund-Reg(M-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1003.53,5.11,8.868668958742633,7.160055147058823,5000.0,1.3712016129032258,1030.463038180341
ICICI Pru India Equity (FOF)(G), FoFs (Domestic) - Equity Oriented, Open ended, S&P BSE 500 - TRI,17.79,4.92,8.868668958742633,7.160055147058823,1000.0,1.61,1000.0
ICICI Pru India Equity (FOF)(IDCW), FoFs (Domestic) - Equity Oriented, Open ended, S&P BSE 500 - TRI,14.82,4.97,8.868668958742633,7.160055147058823,1000.0,1.61,1000.0
Tata Multi Asset Opp Fund-Reg(G), Hybrid - Multi Asset Allocation, Open ended, NIFTY 500 - TRI,16.36,5.97,8.868668958742633,7.160055147058823,5000.0,2.12,1000.0
Tata Multi Asset Opp Fund-Reg(IDCW), Hybrid - Multi Asset Allocation, Open ended, NIFTY 500 - TRI,16.36,5.97,8.868668958742633,7.160055147058823,5000.0,2.12,1000.0
Union Midcap Fund-Reg(IDCW), Equity - Mid Cap Fund, Open ended, S&P BSE 150 MidCap - TRI,27.15,0.71,8.868668958742633,7.160055147058823,1000.0,2.51,1000.0
Aditya Birla SL ESG Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, NIFTY100 ESG - TRI,11.94,-7.77,8.868668958742633,7.160055147058823,1000.0,2.32,1000.0
Aditya Birla SL Nifty Smallcap 50 Index Fund-Reg(G), Index Funds - Nifty, Open ended, Nifty Smallcap 50 - TRI,10.45,-12.3,8.868668958742633,7.160055147058823,1000.0,1.01,1000.0
Aditya Birla SL Nifty Midcap 150 Index Fund-Reg(G), Index Funds - Other, Open ended, Nifty Midcap 150 - TRI,12.9,4.62,8.868668958742633,7.160055147058823,1000.0,1.02,1000.0
HSBC Focused Fund-Reg(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,16.03,-0.96,8.868668958742633,7.160055147058823,5000.0,2.18,1000.0
Aditya Birla SL Nifty 50 Equal Weight Index Fund-Reg(G), Index Funds - Other, Open ended, NIFTY50 Equal Weight - TRI,11.44,3.93,8.868668958742633,7.160055147058823,1000.0,1.02,1000.0
PGIM India Money Market Fund-Reg(W-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,1000.94,5.68,4.02,7.160055147058823,5000.0,0.51,1000.0
PGIM India Money Market Fund-Reg(M-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,1014.41,5.75,4.79,7.160055147058823,5000.0,0.51,1000.0
HSBC Nifty Next 50 Index Fund-Reg(IDCW), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI,16.65,-6.76,8.868668958742633,7.160055147058823,5000.0,0.8,1000.0
HSBC Nifty 50 Index Fund-Reg(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,20.41,4.5,8.868668958742633,7.160055147058823,5000.0,0.45,1000.0
HSBC Nifty 50 Index Fund-Reg(IDCW), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,20.41,4.5,8.868668958742633,7.160055147058823,5000.0,0.45,1000.0
Mirae Asset Arbitrage Fund-Reg(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,11.05,4.4,8.868668958742633,7.160055147058823,5000.0,1.09,1000.0
Mirae Asset Arbitrage Fund-Reg(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,11.05,4.4,8.868668958742633,7.160055147058823,5000.0,1.09,1000.0
Bank of India Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,19.52,-0.15,8.868668958742633,7.160055147058823,5000.0,2.62,1000.0
Bank of India Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,17.73,-0.23,8.868668958742633,7.160055147058823,5000.0,2.62,1000.0
HSBC Focused Fund-Reg(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,14.23,-0.95,8.868668958742633,7.160055147058823,5000.0,2.18,1000.0
Mirae Asset Banking and PSU Debt Fund-Reg(G), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,10.89,4.57,2.95,7.160055147058823,5000.0,0.83,1000.0
Mirae Asset Banking and PSU Debt Fund-Reg(IDCW), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,10.89,4.57,2.95,7.160055147058823,5000.0,0.83,1000.0
BHARAT Bond FOF - April 2025 -Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY BHARAT Bond Index - April 2023,11.02,2.28,8.868668958742633,7.160055147058823,1000.0,0.06,1000.0
BHARAT Bond FOF - April 2025 -Reg(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY BHARAT Bond Index - April 2023,11.02,2.28,8.868668958742633,7.160055147058823,1000.0,0.06,1000.0
BHARAT Bond FOF - April 2031 -Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY BHARAT Bond Index - April 2031,11.04,3.2,8.868668958742633,7.160055147058823,1000.0,0.06,1000.0
BHARAT Bond FOF - April 2031 -Reg(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY BHARAT Bond Index - April 2031,11.04,3.2,8.868668958742633,7.160055147058823,1000.0,0.06,1000.0
Motilal Oswal Multi Asset Fund-Reg(G), Hybrid - Multi Asset Allocation, Open ended, NIFTY 500 - TRI,10.89,1.41,8.868668958742633,7.160055147058823,1000.0,2.04,1000.0
Nippon India Multi Asset Fund-Reg(IDCW), Hybrid - Multi Asset Allocation, Open ended, NIFTY 500 - TRI,13.79,5.28,8.868668958742633,7.160055147058823,5000.0,1.84,1000.0
Mahindra Manulife Arbitrage Yojana-Reg(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,10.79,3.6,8.868668958742633,7.160055147058823,1000.0,1.16,1000.0
Mahindra Manulife Arbitrage Yojana-Reg(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,10.79,3.6,8.868668958742633,7.160055147058823,1000.0,1.16,1000.0
Baroda BNP Paribas Large & Mid Cap Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, S&P BSE 250 LargeMidCap Index - TRI,15.68,2.14,8.868668958742633,7.160055147058823,5000.0,2.48,1000.0
Union Medium Duration Fund-Reg(IDCW), Debt - Medium Duration Fund, Open ended, CRISIL Medium Term Debt Index,10.81,3.9,1.58,7.160055147058823,1000.0,0.9,1000.0
Union Medium Duration Fund-Reg(IDCW-Payout), Debt - Medium Duration Fund, Open ended, CRISIL Medium Term Debt Index,10.81,3.9,1.58,7.160055147058823,1000.0,0.9,1000.0
Invesco India Focused 20 Equity Fund-Reg(G), Equity - Focused Fund, Open ended, S&P BSE 500 - TRI,14.49,-6.8,8.868668958742633,7.160055147058823,1000.0,2.1,1000.0
Invesco India Focused 20 Equity Fund-Reg(IDCW), Equity - Focused Fund, Open ended, S&P BSE 500 - TRI,13.03,-6.82,8.868668958742633,7.160055147058823,1000.0,2.1,1000.0
Mirae Asset Equity Allocator FoF-Reg(G), FoFs (Domestic) - Equity Oriented, Open ended, NIFTY 200 - TRI,16.3,3.9,8.868668958742633,7.160055147058823,5000.0,0.17,1000.0
Mirae Asset Equity Allocator FoF-Reg(IDCW), FoFs (Domestic) - Equity Oriented, Open ended, NIFTY 200 - TRI,16.3,3.9,8.868668958742633,7.160055147058823,5000.0,0.17,1000.0
Sundaram Large Cap Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,13.67,3.5,8.868668958742633,7.160055147058823,1000.0,1.98,1000.0
ICICI Pru ESG Fund(IDCW), Equity - Thematic Fund - Other, Open ended, NIFTY100 ESG - TRI,12.37,4.93,8.868668958742633,7.160055147058823,5000.0,2.18,1000.0
Nippon India Nifty Smallcap 250 Index Fund-Reg(IDCW), Index Funds - Other, Open ended, Nifty Smallcap 250 - TRI,18.01,-3.24,8.868668958742633,7.160055147058823,1000.0,1.04,1000.0
Aditya Birla SL Special Opp Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, S&P BSE 500 - TRI,15.02,-1.06,8.868668958742633,7.160055147058823,1000.0,2.54,1000.0
Aditya Birla SL Special Opp Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, S&P BSE 500 - TRI,13.36,-1.07,8.868668958742633,7.160055147058823,1000.0,2.54,1000.0
Mirae Asset Ultra Short Duration Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,1100.96,5.85,5.02,7.160055147058823,5000.0,0.48,1000.0
Mirae Asset Ultra Short Duration Fund-Reg(IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,1100.56,5.83,5.01,7.160055147058823,5000.0,0.48,1000.0
ITI Banking & PSU Debt Fund-Reg(IDCW), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,11.01,5.15,4.45,7.160055147058823,5000.0,0.7,1000.0
SBI Floating Rate Debt Fund-Reg(G), Debt - Floater Fund, Open ended, Nifty Short Duration Debt Index,11.05,5.18,4.44,7.160055147058823,5000.0,0.46,1000.0
SBI Floating Rate Debt Fund-Reg(M-IDCW), Debt - Floater Fund, Open ended, Nifty Short Duration Debt Index,11.05,5.18,4.44,7.160055147058823,5000.0,0.46,1000.0
SBI Floating Rate Debt Fund-Reg(Q-IDCW), Debt - Floater Fund, Open ended, Nifty Short Duration Debt Index,11.05,5.18,4.44,7.160055147058823,5000.0,0.46,1000.0
Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund-Reg(G), Index Funds - Other, Open ended, MSCI India Domestic & World Healthcare 45 Index,11.93,-1.79,8.868668958742633,7.160055147058823,1000.0,1.3712016129032258,1030.463038180341
Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund-Reg(IDCW), Index Funds - Other, Open ended, MSCI India Domestic & World Healthcare 45 Index,11.93,-1.79,8.868668958742633,7.160055147058823,1000.0,1.3712016129032258,1030.463038180341
Quant ESG Equity Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, NIFTY100 ESG - TRI,21.32,11.08,8.868668958742633,7.160055147058823,5000.0,2.69,1000.0
Quant ESG Equity Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, NIFTY100 ESG - TRI,21.22,10.65,8.868668958742633,7.160055147058823,5000.0,2.69,1000.0
Mirae Asset Nifty 100 ESG Sector Leaders FoF-Reg(G), FoFs (Domestic) - Equity Oriented, Open ended, Nifty100 ESG Sector Leaders - TRI,12.94,0.18,8.868668958742633,7.160055147058823,5000.0,0.51,1000.0
Mirae Asset Nifty 100 ESG Sector Leaders FoF-Reg(IDCW), FoFs (Domestic) - Equity Oriented, Open ended, Nifty100 ESG Sector Leaders - TRI,12.92,0.18,8.868668958742633,7.160055147058823,5000.0,0.51,1000.0
Mahindra Manulife Focused Equity Yojana-Reg(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,16.09,6.25,8.868668958742633,7.160055147058823,1000.0,2.49,1000.0
Mahindra Manulife Focused Equity Yojana-Reg(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,14.03,6.31,8.868668958742633,7.160055147058823,1000.0,2.49,1000.0
Mirae Asset Banking and Financial Services Fund-Reg(G), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,13.27,6.89,8.868668958742633,7.160055147058823,5000.0,2.2,1000.0
Mirae Asset Banking and Financial Services Fund-Reg(IDCW), Equity - Sectoral Fund - Banks & Financial Services, Open ended, Nifty Financial Services - TRI,13.29,6.9,8.868668958742633,7.160055147058823,5000.0,2.2,1000.0
Union Hybrid Equity Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,12.56,1.13,8.868668958742633,7.160055147058823,1000.0,2.53,1000.0
Kotak ESG Opportunities Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, NIFTY100 ESG - TRI,11.87,-1.51,8.868668958742633,7.160055147058823,5000.0,2.14,1000.0
DSP Value Fund-Reg(IDCW), Equity - Value Fund, Open ended, NIFTY500 Value 50 - TRI,12.13,4.1,8.868668958742633,7.160055147058823,1000.0,1.69,1000.0
Aditya Birla SL ESG Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, NIFTY100 ESG - TRI,11.94,-7.69,8.868668958742633,7.160055147058823,1000.0,2.32,1000.0
ICICI Pru Quant Fund(IDCW), Equity - Thematic Fund - Other, Open ended, S&P BSE 200 - TRI,12.12,3.43,8.868668958742633,7.160055147058823,1000.0,1.23,1000.0
HDFC Dividend Yield Fund-Reg(G), Equity - Dividend Yield Fund, Open ended, NIFTY 500 - TRI,15.54,9.51,8.868668958742633,7.160055147058823,1000.0,2.13,1000.0
HDFC Dividend Yield Fund-Reg(IDCW), Equity - Dividend Yield Fund, Open ended, NIFTY 500 - TRI,14.42,9.51,8.868668958742633,7.160055147058823,1000.0,2.13,1000.0
Invesco India - Invesco Global Consumer Trends FoF-Reg(G), FoFs (Overseas), Open ended, MSCI World Consumer Discretionary Index - Net Dividend,6.93,-19.28,8.868668958742633,7.160055147058823,1000.0,1.56,1000.0
Invesco India - Invesco Global Consumer Trends FoF-Reg(IDCW), FoFs (Overseas), Open ended, MSCI World Consumer Discretionary Index - Net Dividend,6.93,-19.28,8.868668958742633,7.160055147058823,1000.0,1.56,1000.0
UTI Small Cap Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,15.44,2.38,8.868668958742633,7.160055147058823,5000.0,2.27,1000.0
ITI Large Cap Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,12.07,-1.09,8.868668958742633,7.160055147058823,5000.0,2.53,1000.0
Baroda BNP Paribas Banking and PSU Bond Fund-Reg(M-IDCW), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,10.09,4.43,1.9,7.160055147058823,5000.0,0.79,1000.0
Baroda BNP Paribas Banking and PSU Bond Fund-Reg(Q-IDCW), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,10.15,4.42,1.89,7.160055147058823,5000.0,0.79,1000.0
Union Hybrid Equity Fund-Reg(IDCW-Payout), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,12.56,1.13,8.868668958742633,7.160055147058823,1000.0,2.53,1000.0
Axis Special Situations Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, NIFTY 500 - TRI,11.77,-6.3,8.868668958742633,7.160055147058823,1000.0,2.11,1000.0
ICICI Pru Business Cycle Fund(IDCW), Equity - Thematic Fund - Other, Open ended, NIFTY 500 - TRI,13.98,6.98,8.868668958742633,7.160055147058823,5000.0,1.91,1000.0
TRUSTMF Banking & PSU Debt Fund-Reg(G), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,1068.66,4.47,2.1,7.160055147058823,1000.0,0.71,1000.0
TRUSTMF Banking & PSU Debt Fund-Reg(DD-IDCW), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,1070.65,7.01,4.66,7.160055147058823,1000.0,0.71,1000.0
TRUSTMF Banking & PSU Debt Fund-Reg(W-IDCW), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,1010.82,4.25,2.07,7.160055147058823,1000.0,0.71,1000.0
TRUSTMF Banking & PSU Debt Fund-Reg(M-IDCW), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,1014.55,4.5,2.15,7.160055147058823,1000.0,0.71,1000.0
TRUSTMF Banking & PSU Debt Fund-Reg(Q-IDCW), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,1023.5,4.53,2.17,7.160055147058823,1000.0,0.71,1000.0
TRUSTMF Banking & PSU Debt Fund-Reg(A-IDCW), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,1031.96,4.47,2.1,7.160055147058823,1000.0,0.71,1000.0
PGIM India Balanced Advantage Fund-Reg(G), Hybrid - Dynamic Asset Allocation, Open ended, CRISIL Hybrid 50+50 - Moderate Index,11.59,2.84,8.868668958742633,7.160055147058823,5000.0,2.1,1000.0
PGIM India Balanced Advantage Fund-Reg(IDCW), Hybrid - Dynamic Asset Allocation, Open ended, CRISIL Hybrid 50+50 - Moderate Index,10.94,2.8,8.868668958742633,7.160055147058823,5000.0,2.1,1000.0
Nippon India Asset Allocator FoF-Reg(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, CRISIL Hybrid 50+50 - Moderate Index,13.15,7.57,8.868668958742633,7.160055147058823,5000.0,1.43,1000.0
